SKU,stock,price,msrp,rebate,sale,name,brand,category,form factor,CPU,RAM,DDR,storage,OS,GPU,VRAM,screen res.,screen type,WiFi,keyboard,touch,ethernet,release year,warranty,warranty desc.,type,CPU score,score,url,updated,discovered,scanned
12E30003US,85,1100.0,1149.0,50.0,49.0,ThinkCentre M70q Gen 4,Lenovo,Desktop Computer,N/A,Intel Core i5-13400T,0,N/A,256,Windows,Integrated,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,3 Year,3 Year On-site,desktop,,N/A,https://www.directdial.com/ca/item/lenovo-thinkcentre-m70q-gen-4-12e30003us-desktop-computer/12e30003us,09/15/2024,09/17/2024,1
M4FPX,14,1643.0,2570.7,0.0,928.0,OptiPlex 7000 7010,Dell,Desktop Computer,SFF,Intel Core i5-13500,0,DDR5,512,Windows,Integrated,N/A,N/A,N/A,No,English,N/A,N/A,2023,3 Year,3Y Basic Onsite Service with Hardware Support-Disti SnS,desktop,,N/A,https://www.directdial.com/ca/item/dell-optiplex-7000-7010-desktop-computer/m4fpx,09/15/2024,09/17/2024,1
RWWW1,9,1046.0,1726.42,60.0,680.0,OptiPlex 7000 7010,Dell,Desktop Computer,Tiny,Intel Core i5-13500T,0,DDR4,256,Windows,Integrated,N/A,N/A,N/A,No,English (US),N/A,N/A,2023,3 Year,3 Years Hardware Service with Onsite-Disti SNS,desktop,,N/A,https://www.directdial.com/ca/item/dell-optiplex-7000-7010-desktop-computer/rwww1,09/15/2024,09/17/2024,1
86Y55UT#ABA,7,1575.0,1559.0,0.0,0,Elite Mini 800 G9,HP,Desktop Computer,Tiny,Intel Core i5-13500T,0,DDR5,512,Windows,Integrated,N/A,N/A,N/A,Yes,English,N/A,N/A,N/A,N/A,N/A,desktop,,N/A,https://www.directdial.com/ca/item/hp-elite-mini-800-g9-desktop-computer/86y55ut-aba,09/15/2024,09/17/2024,1
89M72UT#ABA,23,1154.0,1359.0,200.0,205.0,N/A,HP,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,desktop,,N/A,https://www.directdial.com/ca/item/hp-pro-400-g9-desktop-computer/89m72ut-aba,09/15/2024,09/17/2024,1
11TG000AUS,35,1848.0,1939.0,50.0,91.0,ThinkCentre M80s Gen 3,Lenovo,Desktop Computer,SFF,Intel Core i7-12700,0,DDR5,512,Windows,Integrated,N/A,N/A,N/A,N/A,English (US),N/A,N/A,N/A,3 Year,N/A,desktop,,N/A,https://www.directdial.com/ca/item/lenovo-thinkcentre-m80s-gen-3-11tg000aus-desktop-computer/11tg000aus,09/15/2024,09/17/2024,1
12DN0010US,68,1828.0,1819.0,0.0,0,ThinkCentre M70s Gen 4,Lenovo,Desktop Computer,SFF,Intel Core i7-13700,0,DDR4,512,Windows,Integrated,N/A,N/A,N/A,Yes,English,N/A,N/A,N/A,3 Year,"3-year, Onsite3Y Premier Support Upgrade from 3Y Onsite",desktop,,N/A,https://www.directdial.com/ca/item/lenovo-thinkcentre-m70s-gen-4-12dn0010us-desktop-computer/12dn0010us,09/15/2024,09/17/2024,1
89M73UT#ABA,1,1553.0,1729.0,200.0,176.0,Pro 400 G9,HP,Desktop Computer,SFF,Intel Core i7-13700,0,DDR4,512,Windows,Integrated,N/A,N/A,N/A,N/A,English,N/A,N/A,N/A,N/A,N/A,desktop,,N/A,https://www.directdial.com/ca/item/hp-pro-400-g9-desktop-computer/89m73ut-aba,09/15/2024,09/17/2024,1
86Y62UT#ABA,1,1853.0,2269.0,400.0,416.0,Elite Mini 800 G9,HP,Desktop Computer,Tiny,Intel Core i7-13700T,0,DDR5,512,Windows,Integrated,N/A,N/A,N/A,Yes,English,N/A,N/A,N/A,N/A,N/A,desktop,,N/A,https://www.directdial.com/ca/item/hp-elite-mini-800-g9-desktop-computer/86y62ut-aba,09/15/2024,09/17/2024,1
89M62UT#ABA,39,1043.0,1249.0,200.0,206.0,Pro Mini 400 G9,HP,Desktop Computer,Tiny,Intel Core i5-13500T,0,DDR4,256,Windows,Integrated,N/A,N/A,N/A,Yes,English,N/A,N/A,N/A,N/A,N/A,desktop,,N/A,https://www.directdial.com/ca/item/hp-pro-mini-400-g9-desktop-computer/89m62ut-aba,09/15/2024,09/17/2024,1
